16690717 -5134 ; Judah Reilly;$92,868;Spain;YYN34ZBG4MS	
16700327 -0803 ; Jameson King;$00,246;Sao Tome and Principe;BIJ26HVK4MK	
16700713 -1183 ; Rogan Barker;$61,388;Niue;LNL76EXV3OF	
16740306 -9599 ; Griffin Mcpherson;$99,378;Bouvet Island;LMA16BPO4VQ	
16760229 -4972 ; Colin Walton;$95,022;Cameroon;JMP28WWL3HL	
16770513 -8902 ; Eve Terry;$19,405;Italy;DBR90CNS1IQ	
16771001 -0195 ; Susan Porter;$41,075;Niue;MQU39OAV8FZ	
16771029 -3742 ; Zahir Nieves;$06,103;Eritrea;UUI61JTZ0NC	
16780513 -9008 ; Jamal Sharpe;$33,759;Dominican Republic;MXF71GFR6KB	
16780528 -2444 ; Neil Boyd;$69,232;Burundi;ZEQ45YWH5CW	
16780611 -9611 ; Briar Massey;$29,932;Puerto Rico;MQY19CND7CX	
16790520 -6707 ; Jeremy Dickson;$46,370;Belarus;NSG68IQE9UX	
16790604 -2358 ; Quinlan Mcdonald;$24,193;Angola;YWO03UFQ0TB	
16800122 -2739 ; Kyle Holcomb;$58,057;Argentina;LIT00HBL3DU	
16841014 -8251 ; Tamekah Shannon;$54,921;Wallis and Futuna;SSK17IRB7FK	
16850223 -8804 ; Moana Nash;$65,347;Curaçao;ZHH04FOR8ZA	
16860827 -5163 ; Price Melendez;$48,145;Colombia;VYU71NWM5LT	
16861207 -8744 ; James Duncan;$02,170;Greece;IAV06JEU9KN	
16870428 -2006 ; Georgia Chandler;$95,817;United Arab Emirates;DXF27TDK3QY	
16870817 -6782 ; Dakota Page;$72,387;Lebanon;HLR29ONO5BA	
16900425 -1949 ; Nathaniel Morrow;$19,681;Eritrea;KNN72CNW0ZX	
16900709 -5269 ; Doris Zimmerman;$72,343;Slovakia;IMO18NNH4CO	
16901026 -9257 ; Brett Gibson;$65,492;Palau;GCQ58GRR0TB	
16920428 -0698 ; Lynn Elliott;$09,999;Sweden;SVW78XAP3OV	
16921013 -8617 ; Abbot Nolan;$35,838;Qatar;YDW02EBS1DS	
16940530 -7811 ; Sybil Malone;$44,655;Spain;BMW02NVJ1LA	
16950418 -3030 ; Seth Hebert;$45,890;Armenia;PIO29UNL2DI	
16951024 -7068 ; Shad Case;$78,585;China;VUB47HWR5EN	
16970123 -5252 ; Kyla Phillips;$83,878;Viet Nam;SJR16HPT8EK	
16970719 -4214 ; Astra Whitney;$75,228;Central African Republic;SHP02CIP2VR	
16980624 -1155 ; Meredith Terry;$96,880;Syria;RXN01JXU2WC	
